2021-07-14 16:39:04.2741 | TRACE | WebAPIClient.Program | Program started
2021-07-14 16:39:04.3893 | TRACE | WebAPIClient.Program | File created/checked
2021-07-14 16:39:04.3893 | TRACE | WebAPIClient.Program | File size in kbytes: 10240
2021-07-14 16:39:04.8476 | TRACE | WebAPIClient.Program | File added
2021-07-14 16:39:04.9954 | TRACE | WebAPIClient.Program | File received for the 1 time
2021-07-14 16:39:04.9954 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.14
2021-07-14 16:39:04.9954 | TRACE | WebAPIClient.Program | Average speed: 69566,12 Kb/sec; 67,94Mb/sec
2021-07-14 16:39:05.2339 | TRACE | WebAPIClient.Program | File received for the 2 time
2021-07-14 16:39:05.2339 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.23
2021-07-14 16:39:05.2339 | TRACE | WebAPIClient.Program | Average speed: 44069,26 Kb/sec; 43,04Mb/sec
2021-07-14 16:39:05.4512 | TRACE | WebAPIClient.Program | File received for the 3 time
2021-07-14 16:39:05.4512 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.20
2021-07-14 16:39:05.4512 | TRACE | WebAPIClient.Program | Average speed: 49150,45 Kb/sec; 48Mb/sec
2021-07-14 16:39:05.5873 | TRACE | WebAPIClient.Program | File received for the 4 time
2021-07-14 16:39:05.5879 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.13
2021-07-14 16:39:05.5879 | TRACE | WebAPIClient.Program | Average speed: 76440,56 Kb/sec; 74,65Mb/sec
2021-07-14 16:39:05.7288 | TRACE | WebAPIClient.Program | File received for the 5 time
2021-07-14 16:39:05.7288 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.13
2021-07-14 16:39:05.7288 | TRACE | WebAPIClient.Program | Average speed: 73355,12 Kb/sec; 71,64Mb/sec
2021-07-14 16:39:05.8738 | TRACE | WebAPIClient.Program | File received for the 6 time
2021-07-14 16:39:05.8738 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.14
2021-07-14 16:39:05.8738 | TRACE | WebAPIClient.Program | Average speed: 71776,94 Kb/sec; 70,09Mb/sec
2021-07-14 16:39:06.0058 | TRACE | WebAPIClient.Program | File received for the 7 time
